title,ingredients,instructions,load_dte,batch_number,page_number
Ham Fried Rice,"▢
4 cups cooked rice
▢
1 cup ham chopped
▢
1 piece bell pepper chopped
▢
1 piece onion chopped
▢
½ cup green onion chopped (white part separated from the green part)
▢
2 pieces eggs beaten
▢
2 tablespoons soy sauce
▢
1 teaspoon sesame oil
▢
4 tablespoons canola oil
▢
Salt and ground black pepper to taste","Heat the oil in a pan. Fry the eggs until done. Remove and place on a clean plate. Chop using your spatula and set it aside.
4 tablespoons canola oil, 2 pieces eggs
Saute the ham using the remaining cooking oil for 2 minutes. Add onion, bell pepper, and white part of the green onion. Continue to saute for 1 minute.
1 cup ham, 1 piece bell pepper, 1 piece onion, ½ cup green onion
Add the cooked rice. Toss until all the ingredients are well blended.
4 cups cooked rice
Pour the soy sauce and sesame oil into the pan. Toss.
2 tablespoons soy sauce, 1 teaspoon sesame oil
Add the cooked egg and green onions. Toss and continue cooking for 3 minutes.
Season with salt and ground black pepper.
Salt and ground black pepper to taste
Serve warm. Share and enjoy!",2024-10-14 03:59:08,1,2
Crispy Pancit Canton Noodles Recipe,"▢
250 grams Pancit canton
▢
37 grams Knorr crab and Corn soup
▢
10 pieces shrimp cleaned
▢
12 pieces quail eggs boiled
▢
¼ lb. chicken thigh sliced
▢
1 piece carrot thinly sliced crosswise
▢
3 pieces baby bok choy halved
▢
1 bunch green onion sliced
▢
3 cloves garlic chopped
▢
2 tablespoons oyster sauce
▢
1 teaspoon sesame oil
▢
2 cups water
▢
2 cups cooking oil","Start to blanch the vegetables and shrimp by boiling the water in a cooking pot. Put the carrot first, quickly boil for 1-minute. Remove the carrot from the cooking pot and transfer to a bowl with ice cold water. Soak it for 2 minutes and then remove from the bowl and place in a clean plate. Do the same step with the bok choy and shrimp. Set aside.
10 pieces shrimp, 1 piece carrot, 3 pieces baby bok choy
Fry the pancit canton noodles. Start by heating 2 cups of oil in a wok. Add the pancit canton. Deep fry while gently tossing until it becomes crispy (around 30 to 45 seconds). Remove from the cooking pot. Let the oil drip before arranging it on a serving plate.
250 grams Pancit canton, 2 cups cooking oil
Make the sauce by sautéing garlic and the white part of the green onion. Add the chicken thigh. Cook for 2 minutes. Add the shrimp and carrot. Stir-fry for 30 seconds.
1 bunch green onion, 3 cloves garlic, ¼ lb. chicken thigh
Combine Knorr Crab and Corn Soup with 500 ml. water. Mix well. Pour the mixture into the cooking pot. Stir and continue cooking until the sauce thickens.
37 grams Knorr crab and Corn soup, 2 cups water
Add the quail eggs, oyster sauce, and sesame oil. Season with ground white pepper.
12 pieces quail eggs, 2 tablespoons oyster sauce, 1 teaspoon sesame oil
Arrange the bok choy around the plate and then pour the sauce over the crispy noodles. Serve warm. Share and enjoy!",2024-10-14 03:59:08,1,2
How to Cook Easy Pork Afritada,"▢
2 lbs. pork belly cut into large cubes
▢
1 piece Knorr Pork Cube
▢
3 pieces hotdogs sliced
▢
2 pieces potatoes cut into large cubes
▢
3 pieces carrots cut into large cubes
▢
16 ounces tomato sauce
▢
3 pieces bay leaves
▢
1 piece red bell pepper
▢
1 piece green bell pepper
▢
5 cloves garlic chopped
▢
1 piece onion chopped
▢
1 1/2 cups water
▢
Salt and ground black pepper to taste
▢
3 tablespoons cooking oil","Heat oil in a cooking pot. Fry the pork belly until the color of the outer part turns light to medium brown. Remove the pork and place on a clean plate. Set aside.
Put the hotdogs into the pot. Fry it for 1 minute. Remove and set aside.
Using the remaining oil, sauté the garlic and onion.
Add the pork back once the onion softens. Sauté it for 1 minute.
Pour the tomato sauce into the cooking pot. Add water. Let the mixture boil.
Add Knorr Pork Cube and bay leaves. Cover the pot and simmer for 1 hour or until the pork tenderizes.
Add the hotdogs, potato, and carrot. Cook for 5 minutes.
Add the bell peppers and season with salt and ground black pepper. Cook for 3 minutes.
Serve with white rice. Share and enjoy!",2024-10-14 04:03:13,2,3
Pork and Shrimp Siomai with Chili Garlic Oil,"▢
3 lbs. ground pork
▢
1 cup shrimp minced see notes
▢
12 ml. Knorr Liquid Seasoning
▢
½ cup onion minced
▢
½ cup carrot minced
▢
¼ cup green onion minced
▢
4 tablespoons cornstarch
▢
1 piece egg
▢
2 teaspoons sesame oil
▢
½ teaspoon salt
▢
¼ teaspoon ground black pepper
▢
50 pieces wonton wrapper","Prepare the shumai by combining pork, shrimp, onion, carrot, green onion, and egg in a bowl. Mix well and then add Knorr Liquid Seasoning, sesame oil, salt, and ground black pepper. Continue mixing until the ingredients are well distributed.
Gradually add the cornstarch as needed. Note: this is a binding ingredient that helps absorb moisture from the mixture.
Put steamer liners on your steamer. Arrange the siomai on top. Steam for 20 to 30 minutes.
Make the chili garlic oil by mincing the garlic and Thai chili pepper in a food processor.
Pour 1 1/2 cups of cooking oil in a wok and then add the minced garlic and chili peppers along with star anise and dried bay leaves. Turn on the heat of the stove to the lowest setting. Gradually stir the mixture while cooking for 30 to 45 minutes.
Add vinegar, brown sugar, salt, and oyster sauce unto the mixture. Continue cooking for 3 minutes.
Remove the star anise and dried bay leaves.
Arrange the siomai on a serving plate and top with chili garlic oil then serve with a dipping sauce composed of soy sauce and calamansi.
Share and enjoy!",2024-10-14 04:03:13,2,3
Pork Chop Steak,"▢
4 lbs. pork chop
▢
1 piece Knorr Pork Cube
▢
½ cup soy sauce
▢
1 piece lemon
▢
4 pieces yellow onions sliced into rings
▢
10 cloves garlic crushed and chopped
▢
1 teaspoon cornstarch
▢
2 cups water
▢
3 tablespoons cooking oil
▢
Ground black pepper to taste","In a large bowl, combine pork chops, soy sauce, 5 cloves chopped garlic, juice of 1 lemon, and some ground black pepper. Mix it well. Marinate for at least 30 minutes.
Heat 1 tablespoon of cooking oil in a pan. Fry the pork chops for around 2 ½ minutes per side. Remove from the pan and set aside.
Heat the remaining oil. Sauté half of the onions and the remaining garlic.
Add the pork chops once the onion softens. Continue to sauté for 2 minutes.
Pour the remaining marinade and water into the pan. Let the liquid boil.
Add Knorr Pork Cube. Cover the pan and. Adjust the heat to the lowest setting. Simmer for 45 to 60 minutes or until the pork chop becomes tender.
Combine cornstarch with ¼ cup water. Stir until well blended and then pour the mixture into the pan.
Add the remaining onions. Cover the pan and continue cooking for 3 minutes.
Transfer to a serving plate. Serve with warm rice.
Share and enjoy!",2024-10-14 04:03:13,2,3
Creamy Tofu with Mixed Vegetables,"▢
48 ounces extra firm tofu diced
▢
35 grams Knorr Cream of Mushroom
▢
1 piece Knorr Chicken Cube
▢
½ cup all-purpose cream
▢
¾ cup green peas
▢
¾ cup carrots diced
▢
¾ cups corn kernels
▢
1 piece onion minced
▢
3 cloves garlic minced
▢
2 tablespoons roasted garlic optional
▢
3 tablespoons butter
▢
1 cup cooking oil
▢
2 cups water","Salt and ground black pepper to taste
Deep fry the tofu until it turns golden brown. Set aside.
Melt butter in a pan and then add 2 tablespoons of cooking oil. Sauté the garlic and onion until the onion softens.
Add the fried tofu. Saute for 30 seconds.
Add the green peas, carrots, and corn. Saute for 2 minutes.
Put-in the Knorr Chicken Cube.
Combine water and Knorr Cream of Mushroom. Mix well and then pour the mixture into the pan. Stir.
Pour the heavy cream. Adjust the heat to the lowest setting. Simmer until the sauce reduces to half.
Add some toasted garlic (if desired) and season with salt and ground black pepper.",2024-10-14 04:03:13,2,3
Egg Fried Rice Recipe,"▢
4 eggs see note 1
▢
4 cups leftover rice see note 2
▢
1 onion chopped
▢
1/2 bell pepper chopped
▢
3 sweet peppers chopped
▢
2 tablespoons soy sauce
▢
1 teaspoon sesame oil
▢
3/4 cup green onion chopped
▢
1/4 teaspoon salt
▢
1/2 teaspoon sugar see note 3
▢
4 tablespoons cooking oil","Crack the eggs and place in a bowl.
Heat oil in a wok. Once the oil gets hot, pour the eggs into the wok. Cook until the bottom part turns brown and somewhat crispy. Turn the eggs over and do the same to the other side.
Add the peppers and onion. Sauté the ingredients for 1 minute while breaking the eggs apart.
Add half of the leftover rice. Stir fry for 2 minutes.
Add the remaining rice. Continue cooking until all the ingredients are well blended.
Pour the sesame oil and soy sauce. Continue stir frying for 2 minutes.
Season with salt and sugar and add the green onions. Toss until well blended.
Transfer to a serving plate. Serve with your favorite main dish.
Share and enjoy!",2024-10-14 04:03:13,2,3
Cheesy Pork Caldereta,"▢
3 lbs. pork ribs see note 1
▢
1 piece Knorr Pork Cube
▢
1 teaspoon Knorr Liquid Seasoning
▢
½ cup cheddar cheese grated
▢
¼ cup liver spread see note 2
▢
1 piece red bell pepper
▢
1 piece green bell pepper
▢
¾ cup green peas
▢
2 pieces potatoes diced
▢
2 pieces carrots diced
▢
8 ounces tomato sauce
▢
2 tablespoons tomato paste
▢
3 tablespoons soy sauce
▢
4 cups water
▢
1 piece onion chopped
▢
4 cloves garlic minced
▢
3 tablespoons cooking oil
▢
Salt and ground black pepper","Sprinkle salt on the potatoes and carrots. Toss to distribute. Air fry these at 350F for 12 minutes. Set aside.
2 pieces potatoes, 2 pieces carrots
Boil 2 cups water in a cooking pot. Add the pork ribs. Continue boiling for 3 minutes. Discard the water and set the pork aside.
3 lbs. pork ribs, 4 cups water
Heat 3 tablespoons of cooking oil in a clean cooking pot. Sauté the garlic until it starts to brown. Add the onion and continue cooking until it softens.
1 piece onion, 4 cloves garlic, 3 tablespoons cooking oil
Add the pork ribs. Sauté it until it turns light brown.
3 lbs. pork ribs
Pour the soy sauce. Continue cooking for 1 minute.
3 tablespoons soy sauce
Add the tomato sauce and 2 cups of water. Let it boil.
8 ounces tomato sauce
Add Knorr Pork Cube. Cover the cooking pot. Adjust the heat to a simmer. Continue cooking until the pork tenderizes. Note: this usually take between 45 to 60 minutes.
1 piece Knorr Pork Cube
Stir-in the liver spread and add tomato paste.
¼ cup liver spread, 2 tablespoons tomato paste
Put-in the bell peppers, carrots, potatoes, and green peas. Add Continue cooking for 2 minutes.
1 piece red bell pepper, ¾ cup green peas, 2 pieces potatoes, 2 pieces carrots, 1 piece green bell pepper
Add the cheese and Knorr Liquid Seasoning. Cook for 2 minutes.
1 teaspoon Knorr Liquid Seasoning, ½ cup cheddar cheese
Season with salt and ground black pepper.
Salt and ground black pepper
Serve. Share and enjoy!",2024-10-14 04:03:13,2,3
Cheesy Lumpiang Shanghai,"▢
30 pieces lumpia wrapper
▢
2 cups cooking oil
▢
2 lbs. ground pork see note 1
▢
8 pieces Mozzarella string cheese see note 2","Combine ground pork with the filling ingredients. Add Knorr Liquid seasoning. Mix everything together.
2 lbs. ground pork, 2 teaspoons Knorr Liquid Seasoning, 1 cup carrot, 4 tablespoons cornstarch, 1 egg, Ground black pepper to taste, 1 piece onion
Wrap the lumpia by laying a sheet of lumpia wrapper on a clean flat surface. Scoop around 1 ½ tablespoons of mixture and spread it on one side of the wrapper. Put the sliced string cheese over and cover it completely with the meat mixture. Fold the sides of the wrapper inward, roll it, and secure the ends. Perform this step until the entire meat mixture is consumed.
30 pieces lumpia wrapper, 8 pieces Mozzarella string cheese
Cook the lumpia by heating the remaining oil in a wok. Deep fry using medium heat setting until the lumpia turns golden brown.
2 cups cooking oil
Arrange on a serving plate and serve with ketchup. Share and enjoy!",2024-10-14 04:03:13,2,3
Lechon Sinigang,"▢
2 lbs. lechon cut into serving pieces
▢
22 grams Knorr Sinigang sa Sampaloc Original
▢
1 piece daikon radish sliced
▢
15 pieces string beans cut into 2-inch pieces
▢
2 pieces eggplants sliced
▢
2 pieces long green peppers
▢
10 pieces okra
▢
2 pieces onions wedged
▢
2 pieces tomatoes wedged
▢
3 cloves garlic crushed
▢
1 bunch water spinach kangkong
▢
1 ½ quarts water
▢
3 tablespoons cooking oil
▢
Fish sauce and ground black pepper to taste","Heat the oil in a cooking pot. Sauté the garlic, onion, and tomato.
Once the onion softens, add the lechon. Sauté for 2 minutes.
Pour the water into the cooking pot. Cover and let it boil.
Add 2 sachets of Knorr Sinigang sa Sampaloc (original). Stir. Cover the pot and continue boiling (using the lowest heat setting of your stove) for 30 minutes.
Add the daikon radish. Cook for 5 minutes.
Add the long green pepper, okra, string beans, and eggplant. Cover and continue cooking for 5 minutes.
Add the water spinach. Cook for 2 minutes.
Season with fish sauce and ground black pepper.
Transfer to a serving bowl. Serve hot with rice.
Share and enjoy!",2024-10-14 04:03:13,2,3
Crispy Palabok,"▢
250 grams rice vermicelli sotanghon
▢
2 ½ cups cooking oil","Heat 2 ½ cups of cooking oil in a wok or cooking pot. Once the oil reaches 350F, fry the vermicelli until it gets puffed and crispy. Remove from the pan and let the oil drip off. Arrange on a serving plate. Also arrange half of the topping ingredients around the plate.
Make the sauce by heating the oil in a wok. Saute the white part of the green onion until it softens. Add the ground pork. Saute until it browns.
Add the annatto powder and flour. Continue cooking while stirring for 1 minute.
Pour the water into the wok. Bring it to a simmer.
Add Knorr Shrimp Cube, smoked fish flakes, and anion powder. Continue to simmer while stirring for 3 to 5 minutes. Make sure to add more water if the sauce needs to be thinned down. Season with fish sauce and ground black pepper.
Pour the sauce over the crispy noodles (Note: it is recommended to do this while the sauce is hot). Top with the remaining ingredients.
Serve. Share and enjoy!",2024-10-14 04:03:13,2,3
Crispy Fried Chicken with Mushroom Gravy,"▢
2 lbs chicken cut into serving pieces, see note 1
▢
24 ml Knorr Liquid Seasoning
▢
3 pieces eggs beaten
▢
2 cups cooking oil","Coat the chicken all over with Knorr Liquid Seasoning. Let it stay for 10 minutes.
24 ml Knorr Liquid Seasoning, 2 lbs chicken
Meanwhile, make the mushroom gravy. Melt butter in a pot. Add all-purpose flour. Stir while cooking until lumps form and the mixture turns medium brown in color.
3 tablespoons butter, ¾ cups all-purpose flour
Combine Knorr Cream of Mushroom with 1 ½ cups of water. Mix well and pour into the pot. Stir and let this simmer for a few minutes. Continue stirring until the consistency of the mixture smoothens. Set this aside while keeping it warm.
55 grams Knorr Cream of Mushroom, 1 ½ cups water
Heat the oil in a deep pan.
2 cups cooking oil
Combine all the breading ingredients in a bowl and mix it well.
¾ cups cornstarch, 1 ½ teaspoons salt, ¼ cup all-purpose flour, 1 teaspoon baking powder
Dredge the chicken into the breading, dip in beaten egg, and roll it back into the breading making sure that the entire piece is well coated.
3 pieces eggs
Start frying the chicken until both sides are brown and crisp (and the internal temperature reads at least 165F).
Arrange on a serving plate. Serve with mushroom gravy. Share and enjoy!",2024-10-14 04:03:13,2,3
Truffle Mushroom Pasta,"▢
½ lb. Fettuccine
▢
35 grams Knorr Cream of Mushroom
▢
8 ounces baby bella mushroom sliced
▢
¼ cup heavy whipping cream
▢
1 teaspoon truffle oil
▢
1 sprig rosemary chopped
▢
2 tablespoons parsley chopped
▢
3 tablespoons butter
▢
¼ cup parmesan cheese grated
▢
1 ½ cups water
▢
1 tablespoon olive oil
▢
Ground black pepper to taste","Cook the fettuccine based on package instructions. Set aside.
Make the sauce by melting butter in a pan. Add the olive oil.
Sauté the mushrooms until soft.
Combine Knorr Cream of mushroom and water. Mix well. Pour the mixture into the pan and add the rosemary. Cook for 10 minutes using the lowest heat setting.
Pour the heavy cream and add truffle oil. Season with ground black pepper and parmesan cheese.
Toss-in the fettuccine making sure that it completely gets coated with the sauce.
Transfer to a serving plate. Sprinkle parsley and top with more parmesan.
Share and enjoy!",2024-10-14 04:03:13,2,3
Pork Belly with Boiled Eggs in Oyster Sauce,"▢
3 lbs. pork belly sliced into serving pieces
▢
1 Knorr Pork cube
▢
25 quail eggs boiled and peeled
▢
3 onions sliced
▢
½ lime
▢
1 head garlic crushed and chopped
▢
3 tablespoons soy sauce
▢
2 tablespoons oyster sauce
▢
2 tablespoons Worcestershire sauce
▢
1 tablespoon brown sugar
▢
4 cups water
▢
4 tablespoons cooking oil
▢
Ground black pepper to taste","Heat oil in a pan. Sauté 1 onion and garlic.
Add the pork belly. Continue sautéing until it browns. Note: this can take up to 5 minutes.
Add the soy sauce, oyster sauce, and Worcestershire sauce. Stir and cook for 1 minute.
Pour the water into the pan. Cover it and let boil.
Add Knorr Pork cube. Cover and simmer for 60 to 80 minutes.
Add the brown sugar and squeeze the lime. Cook until the sauce evaporates almost completely.
Add the remaining onions. Stir and continue cooking until the onion softens.
Season with ground black pepper.
Add the boiled quail eggs and gently toss. Cook for 1 minute.
Transfer to a serving plate. Serve with rice. Share and enjoy!",2024-10-14 04:03:13,2,3
Crispy Tofu Fried Chicken with Chicken Gravy,"▢
2 lbs. extra firm tofu
▢
1 Knorr Chicken Cube
▢
2 teaspoons Knorr Liquid Seasoning
▢
2 eggs beaten
▢
¾ cup water
▢
2 cups cooking oil","Freeze the tofu overnight. Thaw and slice into serving pieces. Press to extract the liquid from it. Set aside.
Meanwhile, melt half of the Knorr chicken cube in ¾ cups water. Add Knorr Liquid seasoning. Pour the mixture over the tofu. Press the tofu to absorb the marinade. Let it stay for 10 minutes.
While marinating, make the chicken gravy. Melt butter in a saucepan. Add all-purpose flour. Cook in while stirring for 5 to 8 minutes or until the roux browns enough. Add Knorr Chicken Cube. Stir until melted. Pour water into the saucepan. Stir until well blended. Add onion powder, garlic powder, and ground black pepper. Continue cooking for 1 minute. Set aside.
Combine breading ingredients in a bowl. Using a cheese grater, grate the remaining Knorr chicken cube and combine with the breading mixture. Mix well.
Heat oil in a pan.
Gently press the marinated tofu to release the liquid marinade. Dredge it into the flour mixture, dip in beaten egg, and then dredge it back again in flour. Fry one side until golden brown. Turn it over and do the same to the opposite side. Remove from the pan and arrange on a serving plate.
Serve with chicken gravy and rice. Share and enjoy!",2024-10-14 04:03:13,2,4
Filipino Spaghetti Recipe,"▢
1 lb. spaghetti
▢
1 lb. ground pork
▢
1 Knorr Pork Cube
▢
3 tablespoons liver spread
▢
12 hotdogs sliced
▢
35 ounces Filipino Style Spaghetti Sauce
▢
1 tablespoon all-purpose flour
▢
1 cup water
▢
1 onion minced
▢
3 cloves garlic minced
▢
3 tablespoons cooking oil
▢
Salt and ground black pepper to taste","Cook the Spaghetti noodles (al dente) according to package instructions. Once cooked, Drain the water, and then transfer the spaghetti to a bowl. Cover it and set aside.
Heat the oil in a Pan. Sauté the onion and garlic.
Once the onions soften, add the ground pork. Cook until the color turns light brown.
Add the hotdog. Continue sautéing for 30 seconds.
Add the flour. Continue cooking for 1 minute.
Pour-in the Spaghetti sauce and water into the pan. Stir continuously until the texture of the sauce smoothens. Cover the pan. Let it boil.
Add Knorr Pork Cube. Cook for 15 to 18 minutes or until the sauce gets thick enough.
Add the liver spread and season with salt and ground black pepper as needed.
Add the cooked spaghetti into the pan. Toss until it completely gets coated with the sauce.
Top with shredded cheddar cheese.
Transfer to a serving plate and serve. Share and enjoy!",2024-10-14 04:03:13,2,4
Tofu and Broccoli Stir fry,"▢
8 oz. extra firm tofu sliced in 1/2 inch thick pieces
▢
3 cups sliced broccoli florets
▢
1 carrot sliced diagonally (optional)
▢
1 medium onion sliced
▢
1 teaspoon minced garlic
▢
1 teaspoon minced ginger
▢
2 tablespoons oyster sauce
▢
6 tablespoons cooking oil
▢
Salt and pepper to taste","Heat a pan and then pour-in 4 tablespoons of cooking oil.
When the oil becomes hot, fry both sides of the sliced tofu until the texture becomes crisp (about 8 to 10 minutes per side)
Remove the tofu from the pan and let cool. Slice into smaller rectangular pieces. Set aside.
On a clean frying pan, heat the remaining oil.
Sauté the garlic, ginger, and onion
Add the fried tofu slices along with the oyster sauce. Stir.
Put-in the broccoli florets. Stir and then cook for 5 to 8 minutes.
Add salt and pepper to taste.
Transfer to serving plate.
Serve with rice. Share and enjoy!",2024-10-14 04:03:13,2,4
Ginisang Puso ng Saging,"▢
1 banana heart
▢
8 ounces pork thinly sliced
▢
1 Knorr Pork Cube
▢
2 ounces vermicelli sotanghon
▢
1 onion
▢
3 cloves garlic
▢
½ cup white vinegar
▢
5 cups water
▢
3 tablespoons cooking oil
▢
1 tablespoon salt
▢
Fish sauce and ground black pepper to taste","Clean the banana heart and slice it into thin pieces. Combine ½ cup vinegar and 1 cup of water in a large bowl. Put the sliced banana heart into the mixture. Rub the salt onto it and soak for 10 to 20 minutes. Drain the liquid mixture and then wring the banana hearts (a chunk at a time) to force the liquid to come out. Set aside.
Soak the vermicelli in 2 cups of water for 12 minutes. Drain the water and then set the vermicelli aside.
Heat the oil in pan. Sauté the garlic and onion until the latter softens.
Add the pork sliced. Continue to cook until it browns.
Pour 1 cup of water into the pan. Cover it and let the water boil. Adjust the heat between low to medium heat setting. Cook until the liquid completely evaporates.
Add the sliced banana hearts. Sauté it for 2 minutes.
Pour the remaining 1 cup of water into the pan. Let it boil. Add Knorr Pork Cube. Cover and cook until the water reduces to half. Note: you can add more water if the banana heart slices needs to be cooked further to soften.
Remove the cover and season with fish sauce and ground black pepper as needed.
Serve with rice. Share and enjoy!",2024-10-14 04:03:13,2,4
Panlasang Pinoy Special Pancit Canton,"▢
400 grams pancit canton boiled for 2 minutes.
▢
1 Knorr Shrimp cube
▢
12 ounces pork belly
▢
6 ounces pork liver sliced
▢
2 Chinese sausage sliced
▢
5 kikiam
▢
12 shrimp
▢
12 quail eggs boiled
▢
2 cups cabbage sliced
▢
1 red bell pepper Julienne
▢
20 long green beans sliced
▢
1 carrot Julienne
▢
1 onion sliced
▢
5 cloves garlic chopped
▢
1 cup water
▢
¼ cup soy sauce
▢
3 ½ tablespoons oyster sauce
▢
1 teaspoon Sesame oil
▢
4 cups water
▢
2 teaspoons cornstarch
▢
3 tablespoons cooking oil
▢
Salt and ground black pepper to taste","Combine pork liver and milk in a bowl. Marinate for 1 hour. Discard the milk and then rinse the pork liver with water. Set aside.
Boil water in a cooking pot. Add the pork and 1 teaspoon salt. Cover the pot and continue to boil until the pork tenderizes. Remove the pork and slice into thin pieces. Set the pork stock aside.
Clean the shrimp and remove the head and shells. Combine the shell and head of the shrimp with the pork stock. Boil for 2 minutes. Run it through a kitchen sieve to filter the solid parts. Let the stock cool down and combine with cornstarch. Stir. Set it aside.
Heat oil in a large casserole or skillet. Sauté the garlic and onion.
Once the onion softens, add the pork belly, kikiam, and Chinese sausage. Continue sautéing for 2 minutes. Add the pork liver. Cook for 1 ½ minutes.
Pour the oyster sauce. Stir.
Put the vegetables into the skillet starting with the cabbage. Add the long green beans, carrot, and bell pepper. Toss.
Add the shrimp, soy sauce, sesame oil, and stock (from pork and shrimp). Let it boil and then add the Knorr Shrimp Cube. Cook for 3 minutes.
Toss-in the pancit canton. Continue cooking until all the ingredients are well blended.
Season with salt and ground black pepper. Serve. Share and enjoy.",2024-10-14 04:03:13,2,4
Chicken Adobo Recipe (boneless thigh),"▢
2 lbs. chicken thigh boneless
▢
6 cloves garlic minced
▢
1 onion minced
▢
1 Knorr chicken cube
▢
4 tablespoons soy sauce
▢
1 teaspoon oyster sauce
▢
5 tablespoons vinegar
▢
2 teaspoons brown sugar
▢
1 cup water
▢
3 bay leaves
▢
3 tablespoons green onion sliced
▢
Salt and ground black pepper to taste","Prepare the chicken by removing the bones. Use a sharp knife and score the meat around the bone until you can easily pull out the bone. You can also remove the skin if preferred.
Crush 3 cloves of garlic and combine with soy sauce, vinegar, sugar, and ¼ teaspoon ground black pepper. Stir and add the chicken. Marinate for at least 1 hour.
Heat oil in a pan. Fry the marinated chicken for 2 minutes per side. Remove the chicken and set aside.
Sauté the onion and remaining garlic. Once the onion softens, add the chicken back into the pan. Sauté for 2 minutes.
Pour the remaining marinade, add oyster sauce, water, and bay leaves, cover and let boil.
Add Knorr Chicken Cube, cook for 30 minutes on low heat setting.
Season with salt and ground black pepper as needed.
Arrange on a serving plate and top with sliced green onions.
Serve. Share and enjoy!",2024-10-14 04:03:13,2,4
Easy Chicken Ala King,"▢
60 grams Knorr Cream of chicken and corn
▢
1 green bell pepper minced
▢
1 red bell pepper minced
▢
2 tablespoons unsalted butter
▢
2 tablespoons cooking oil
▢
2 ½ cups water","Prepare the chicken katsu. Flatten the chicken breast by slightly pounding with the flat part of the meat tenderizer tool. Season salt, ground black pepper, and garlic powder all over the chicken.
Heat oil in a pan.
While the oil is heating up, bread the chicken. Dredge it in all-purpose flour. Dip in the beaten egg mixture, dredge in flour again and then dip one more time in beaten egg. Now, roll it over the Panko breadcrumbs making sure that it gets completely coated.
Deep fry the chicken katsu until the color of the breading turns golden brown. Note: if the oil is not enough, you can turn the chicken over to fully cook the opposite side.
Remove the chicken from the pan and arrange in a serving plate. Set aside.
Make the easy chicken ala king sauce by melting the butter in a saucepan. Add the cooking oil.
Once the butter mixture gets hot, add the bell peppers. Saute for 1 ½ minutes.
Combine Knorr Cream of Chicken and Corn and water. Stir until well blended. Pour the mixture into the saucepan. Continue cooking while stirring until the sauce thickens to your desired consistency.
Pour the sauce over the chicken katsu. Serve with rice and Knorr Cream of mushroom soup on the side.
Share and enjoy!",2024-10-14 04:03:13,2,4
Nilagang Pata,"▢
4 lbs. pork hock
▢
1 Knorr Pork Cube
▢
3 potatoes quartered
▢
2 ears sweet corn
▢
½ head cabbage
▢
2 bunches baby bok choy
▢
½ lb. long green beans
▢
2 onions quartered
▢
2 teaspoons whole peppercorn
▢
8 cups water
▢
Fish sauce to taste","Clean the pork hocks thoroughly. Set aside.
Pour the water into a large cooking pot. Let it boil.
Add the pork hocks. Cover and cook for 10 minutes.
Skim-off the scums from the surface and then add Knorr Pork cube, onion and whole peppercorn. Cover, adjust the heat to the lowest setting. Simmer until the pork tenderizes completely. Note: this can take between 60 to 90 minutes.
Adjust the heat between low and medium setting. Add the corn and potatoes. Cook for 10 minutes.
Add the long green beans, bok choy, and cabbage. Continue boiling for 3 to 5 minutes.
Season with fish sauce. Transfer to a serving bowl. Serve hot with rice.
Share and enjoy!",2024-10-14 04:03:13,2,4
Crispy Fried Chicken,"▢
3 lbs. chicken cut into individual pieces
▢
1 tablespoon salt
▢
3 cups cooking oil
▢
1 cup all-purpose flour","Rub salt all over the chicken. Let it stay for 15 minutes.
Heat the oil in a cooking pot.
Prepare the batter. Start by pressing a fork on the chicken cube until it is completely squashed. Combine it with warm milk. Stir until well blended. Set aside.
Combine flour, baking powder, garlic powder, salt, and ground black pepper. Mix well using a fork or a wire whisk. Set aside.
Beat the eggs in a large mixing bowl. Add the milk mixture. Continue to beat until all the ingredients are all incorporated. Add half of flour mixture. Whisk. Add the remaining half and whisk until the texture of the batter becomes smooth.
Dredge the chicken in flour and then dip in batter. Roll it again in flour until completely covered. Fry in medium heat for 7 minutes per side.
Remove from the pot and put in a plate lined with paper towel. This will absorb the oil.
Serve with ketchup or gravy.
Share and enjoy!",2024-10-14 04:03:13,2,4
